Spain beats Croatia 5-3 in thrilling Euro 2020 knockout ,https://www.thehindu.com/sport/football/euro-cup-spain-beat-croatia-5-3-in-thrilling-euro-2020-knockout/article35028076.ece,Tue, 29 Jun 2021 07:30:53 +0530
Euro 2020 | England’s new generation will hope to set ancient history right,https://www.thehindu.com/sport/football/euro-2020-englands-new-generation-will-hope-to-set-ancient-history-right/article35025924.ece,Tue, 29 Jun 2021 07:31:46 +0530
Copa America | Ecuador makes last eight,https://www.thehindu.com/sport/football/copa-america-ecuador-makes-last-eight/article35022582.ece,Mon, 28 Jun 2021 20:53:55 +0530
Czechs beat Netherlands 2-0 to reach Euro 2020 quarterfinals,https://www.thehindu.com/sport/football/czechs-beat-netherlands-2-0-to-reach-euro-2020-quarterfinals/article35009163.ece,Mon, 28 Jun 2021 07:32:53 +0530
Belgium edges Portugal, reaches quarterfinals at Euro 2020,https://www.thehindu.com/sport/football/belgium-edges-portugal-reaches-quarterfinals-at-euro-2020/article35009297.ece,Mon, 28 Jun 2021 07:34:19 +0530
Spain, Croatia peaking ahead of knockout game,https://www.thehindu.com/sport/football/euro-2020-spain-croatia-peaking-ahead-of-knockout-game/article35006599.ece,Mon, 28 Jun 2021 07:34:25 +0530
Euro Cup | Italy beat Austria 2-1 with extra time goals to reach last eight,https://www.thehindu.com/sport/football/euro-cup-italy-beat-austria-2-1-with-extra-time-goals-to-reach-last-eight/article34996473.ece,Sun, 27 Jun 2021 07:40:28 +0530
Denmark makes a statement with classy win,https://www.thehindu.com/sport/football/denmark-makes-a-statement-with-classy-win/article34996240.ece,Sun, 27 Jun 2021 07:40:16 +0530
Early reckoning for top-ranked Belgium,https://www.thehindu.com/sport/football/early-reckoning-for-top-ranked-belgium/article34993343.ece,Sun, 27 Jun 2021 07:40:19 +0530
Maradona psychiatrist denies blame in star’s death,https://www.thehindu.com/sport/football/maradona-psychiatrist-denies-blame-in-stars-death/article34984877.ece,Sat, 26 Jun 2021 12:59:58 +0530
Euro 2020 | Clean sheet king Italy favourite,https://www.thehindu.com/sport/football/clean-sheet-king-italy-favourite/article34980185.ece,Sat, 26 Jun 2021 00:04:55 +0530
‘Eriksen incident showed how football can unify the world’,https://www.thehindu.com/sport/football/eriksen-incident-showed-how-football-can-unify-the-world/article34981671.ece,Sat, 26 Jun 2021 00:29:54 +0530
Euro 2020 | UEFA launch probe into ‘discriminatory incidents’ during Germany-Hungary match,https://www.thehindu.com/sport/football/euro-2020-uefa-launch-probe-into-discriminatory-incidents-during-germany-hungary-match/article34966702.ece,Fri, 25 Jun 2021 16:37:02 +0530
 Brazil edges Colombia amidst controversy,https://www.thehindu.com/sport/football/brazil-edges-colombia-amidst-controversy/article34955691.ece,Thu, 24 Jun 2021 21:38:36 +0530
Delta variant reported during Euro 2020: Danish officials,https://www.thehindu.com/sport/football/delta-variant-reported-during-euro-2020-danish-officials/article34948547.ece,Fri, 25 Jun 2021 07:48:43 +0530
Goretzka keeps Germany in Euro 2020 after draw with Hungary,https://www.thehindu.com/sport/football/goretzka-keeps-germany-in-euro-2020-after-draw-with-hungary/article34942287.ece,Thu, 24 Jun 2021 04:53:55 +0530
Lewandowski, Poland out of Euro 2020 with 3-2 loss to Sweden,https://www.thehindu.com/sport/football/lewandowski-poland-out-of-euro-2020-with-3-2-loss-to-sweden/article34941432.ece,Fri, 25 Jun 2021 07:47:33 +0530
Bizarre own-goal helps Spain advance to last 16,https://www.thehindu.com/sport/football/euro-2020-bizarre-own-goal-helps-spain-advance-to-last-16/article34941393.ece,Fri, 25 Jun 2021 07:48:38 +0530
Euro 2020 | Ronaldo double rescues Portugal in dramatic draw with France ,https://www.thehindu.com/sport/football/euro-2020-ronaldo-double-rescues-portugal-in-dramatic-draw-with-france/article34941429.ece,Thu, 24 Jun 2021 04:46:50 +0530
Wangjam extends BFC stay,https://www.thehindu.com/sport/football/wangjam-extends-bfc-stay/article34939005.ece,Wed, 23 Jun 2021 22:50:23 +0530
Euro 2020 | Sterling strikes as England tops group
,https://www.thehindu.com/sport/football/england-get-the-job-done-with-1-0-win-over-czechs/article34920854.ece,Wed, 23 Jun 2021 21:56:26 +0530
Croatia advances at Euro 2020 with Modrić leading the way,https://www.thehindu.com/sport/football/euro-2020-croatia-advances-at-euro-2020-with-modri-leading-the-way/article34920722.ece,Wed, 23 Jun 2021 07:36:55 +0530
Argentina qualify for Copa quarters with win over Paraguay,https://www.thehindu.com/sport/football/argentina-qualify-for-copa-quarters-with-win-over-paraguay/article34897886.ece,Tue, 22 Jun 2021 09:09:08 +0530
